"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Percent!!Estimate","Tennessee!!Percent!!Margin of Error","Tennessee!!Male!!Estimate","Tennessee!!Male!!Margin of Error","Tennessee!!Percent Male!!Estimate","Tennessee!!Percent Male!!Margin of Error","Tennessee!!Female!!Estimate","Tennessee!!Female!!Margin of Error","Tennessee!!Percent Female!!Estimate","Tennessee!!Percent Female!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!Percent!!Estimate","Cannon County, Tennessee!!Percent!!Margin of Error","Cannon County, Tennessee!!Male!!Estimate","Cannon County, Tennessee!!Male!!Margin of Error","Cannon County, Tennessee!!Percent Male!!Estimate","Cannon County, Tennessee!!Percent Male!!Margin of Error","Cannon County, Tennessee!!Female!!Estimate","Cannon County, Tennessee!!Female!!Margin of Error","Cannon County, Tennessee!!Percent Female!!Estimate","Cannon County, Tennessee!!Percent Female!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!Percent!!Estimate","Clay County, Tennessee!!Percent!!Margin of Error","Clay County, Tennessee!!Male!!Estimate","Clay County, Tennessee!!Male!!Margin of Error","Clay County, Tennessee!!Percent Male!!Estimate","Clay County, Tennessee!!Percent Male!!Margin of Error","Clay County, Tennessee!!Female!!Estimate","Clay County, Tennessee!!Female!!Margin of Error","Clay County, Tennessee!!Percent Female!!Estimate","Clay County, Tennessee!!Percent Female!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!Percent!!Estimate","Cumberland County, Tennessee!!Percent!!Margin of Error","Cumberland County, Tennessee!!Male!!Estimate","Cumberland County, Tennessee!!Male!!Margin of Error","Cumberland County, Tennessee!!Percent Male!!Estimate","Cumberland County, Tennessee!!Percent Male!!Margin of Error","Cumberland County, Tennessee!!Female!!Estimate","Cumberland County, Tennessee!!Female!!Margin of Error","Cumberland County, Tennessee!!Percent Female!!Estimate","Cumberland County, Tennessee!!Percent Female!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!Percent!!Estimate","DeKalb County, Tennessee!!Percent!!Margin of Error","DeKalb County, Tennessee!!Male!!Estimate","DeKalb County, Tennessee!!Male!!Margin of Error","DeKalb County, Tennessee!!Percent Male!!Estimate","DeKalb County, Tennessee!!Percent Male!!Margin of Error","DeKalb County, Tennessee!!Female!!Estimate","DeKalb County, Tennessee!!Female!!Margin of Error","DeKalb County, Tennessee!!Percent Female!!Estimate","DeKalb County, Tennessee!!Percent Female!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!Percent!!Estimate","Fentress County, Tennessee!!Percent!!Margin of Error","Fentress County, Tennessee!!Male!!Estimate","Fentress County, Tennessee!!Male!!Margin of Error","Fentress County, Tennessee!!Percent Male!!Estimate","Fentress County, Tennessee!!Percent Male!!Margin of Error","Fentress County, Tennessee!!Female!!Estimate","Fentress County, Tennessee!!Female!!Margin of Error","Fentress County, Tennessee!!Percent Female!!Estimate","Fentress County, Tennessee!!Percent Female!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!Percent!!Estimate","Jackson County, Tennessee!!Percent!!Margin of Error","Jackson County, Tennessee!!Male!!Estimate","Jackson County, Tennessee!!Male!!Margin of Error","Jackson County, Tennessee!!Percent Male!!Estimate","Jackson County, Tennessee!!Percent Male!!Margin of Error","Jackson County, Tennessee!!Female!!Estimate","Jackson County, Tennessee!!Female!!Margin of Error","Jackson County, Tennessee!!Percent Female!!Estimate","Jackson County, Tennessee!!Percent Female!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!Percent!!Estimate","Macon County, Tennessee!!Percent!!Margin of Error","Macon County, Tennessee!!Male!!Estimate","Macon County, Tennessee!!Male!!Margin of Error","Macon County, Tennessee!!Percent Male!!Estimate","Macon County, Tennessee!!Percent Male!!Margin of Error","Macon County, Tennessee!!Female!!Estimate","Macon County, Tennessee!!Female!!Margin of Error","Macon County, Tennessee!!Percent Female!!Estimate","Macon County, Tennessee!!Percent Female!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!Percent!!Estimate","Overton County, Tennessee!!Percent!!Margin of Error","Overton County, Tennessee!!Male!!Estimate","Overton County, Tennessee!!Male!!Margin of Error","Overton County, Tennessee!!Percent Male!!Estimate","Overton County, Tennessee!!Percent Male!!Margin of Error","Overton County, Tennessee!!Female!!Estimate","Overton County, Tennessee!!Female!!Margin of Error","Overton County, Tennessee!!Percent Female!!Estimate","Overton County, Tennessee!!Percent Female!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!Percent!!Estimate","Pickett County, Tennessee!!Percent!!Margin of Error","Pickett County, Tennessee!!Male!!Estimate","Pickett County, Tennessee!!Male!!Margin of Error","Pickett County, Tennessee!!Percent Male!!Estimate","Pickett County, Tennessee!!Percent Male!!Margin of Error","Pickett County, Tennessee!!Female!!Estimate","Pickett County, Tennessee!!Female!!Margin of Error","Pickett County, Tennessee!!Percent Female!!Estimate","Pickett County, Tennessee!!Percent Female!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Percent!!Estimate","Putnam County, Tennessee!!Percent!!Margin of Error","Putnam County, Tennessee!!Male!!Estimate","Putnam County, Tennessee!!Male!!Margin of Error","Putnam County, Tennessee!!Percent Male!!Estimate","Putnam County, Tennessee!!Percent Male!!Margin of Error","Putnam County, Tennessee!!Female!!Estimate","Putnam County, Tennessee!!Female!!Margin of Error","Putnam County, Tennessee!!Percent Female!!Estimate","Putnam County, Tennessee!!Percent Female!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!Percent!!Estimate","Smith County, Tennessee!!Percent!!Margin of Error","Smith County, Tennessee!!Male!!Estimate","Smith County, Tennessee!!Male!!Margin of Error","Smith County, Tennessee!!Percent Male!!Estimate","Smith County, Tennessee!!Percent Male!!Margin of Error","Smith County, Tennessee!!Female!!Estimate","Smith County, Tennessee!!Female!!Margin of Error","Smith County, Tennessee!!Percent Female!!Estimate","Smith County, Tennessee!!Percent Female!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!Percent!!Estimate","Van Buren County, Tennessee!!Percent!!Margin of Error","Van Buren County, Tennessee!!Male!!Estimate","Van Buren County, Tennessee!!Male!!Margin of Error","Van Buren County, Tennessee!!Percent Male!!Estimate","Van Buren County, Tennessee!!Percent Male!!Margin of Error","Van Buren County, Tennessee!!Female!!Estimate","Van Buren County, Tennessee!!Female!!Margin of Error","Van Buren County, Tennessee!!Percent Female!!Estimate","Van Buren County, Tennessee!!Percent Female!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!Percent!!Estimate","Warren County, Tennessee!!Percent!!Margin of Error","Warren County, Tennessee!!Male!!Estimate","Warren County, Tennessee!!Male!!Margin of Error","Warren County, Tennessee!!Percent Male!!Estimate","Warren County, Tennessee!!Percent Male!!Margin of Error","Warren County, Tennessee!!Female!!Estimate","Warren County, Tennessee!!Female!!Margin of Error","Warren County, Tennessee!!Percent Female!!Estimate","Warren County, Tennessee!!Percent Female!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!Percent!!Estimate","White County, Tennessee!!Percent!!Margin of Error","White County, Tennessee!!Male!!Estimate","White County, Tennessee!!Male!!Margin of Error","White County, Tennessee!!Percent Male!!Estimate","White County, Tennessee!!Percent Male!!Margin of Error","White County, Tennessee!!Female!!Estimate","White County, Tennessee!!Female!!Margin of Error","White County, Tennessee!!Percent Female!!Estimate","White County, Tennessee!!Percent Female!!Margin of Error"
"        40 to 44 years","445,794","±4,347","6.3%","±0.1","220,922","±3,304","6.4%","±0.1","224,872","±2,954","6.2%","±0.1","769","±169","5.2%","±1.1","394","±107","5.2%","±1.4","375","±138","5.2%","±1.9","451","±159","5.9%","±2.1","157","±96","4.2%","±2.5","294","±129","7.5%","±3.2","3,171","±394","5.0%","±0.6","1,436","±219","4.6%","±0.7","1,735","±314","5.3%","±1.0","1,282","±284","6.1%","±1.4","555","±160","5.3%","±1.5","727","±210","6.9%","±2.0","948","±267","4.9%","±1.4","508","±203","5.3%","±2.2","440","±157","4.5%","±1.6","598","±147","5.0%","±1.2","306","±103","5.0%","±1.7","292","±81","4.9%","±1.4","1,988","±191","7.6%","±0.7","1,044","±134","8.1%","±1.0","944","±165","7.1%","±1.2","1,547","±174","6.7%","±0.8","840","±125","7.2%","±1.1","707","±136","6.2%","±1.2","275","±92","5.4%","±1.8","107","±60","4.1%","±2.3","168","±57","6.8%","±2.3","4,854","±465","5.9%","±0.6","2,340","±328","5.7%","±0.8","2,514","±329","6.1%","±0.8","1,223","±162","6.0%","±0.8","678","±125","6.6%","±1.2","545","±125","5.4%","±1.2","251","±76","3.9%","±1.2","82","±60","2.5%","±1.8","169","±60","5.4%","±1.9","2,594","±381","6.2%","±0.9","1,383","±221","6.6%","±1.1","1,211","±232","5.7%","±1.1","1,634","±283","5.8%","±1.0","789","±171","5.7%","±1.2","845","±171","5.9%","±1.2"
"        45 to 49 years","423,995","±1,040","6.0%","±0.1","209,666","±803","6.0%","±0.1","214,329","±743","6.0%","±0.1","861","±57","5.8%","±0.4","437","±35","5.8%","±0.4","424","±30","5.8%","±0.4","429","±20","5.6%","±0.6","217","±20","5.8%","±0.1","212","±20","5.4%","±0.1","2,987","±110","4.7%","±0.2","1,429","±46","4.6%","±0.2","1,558","±96","4.8%","±0.3","1,190","±62","5.7%","±0.3","577","±38","5.5%","±0.4","613","±53","5.8%","±0.5","1,099","±41","5.7%","±0.2","561","±41","5.9%","±0.4","538","±22","5.5%","±0.1","740","±26","6.2%","±0.2","386","±26","6.3%","±0.4","354","±4","6.0%","±0.1","1,551","±139","5.9%","±0.5","713","±34","5.5%","±0.3","838","±107","6.3%","±0.8","1,494","±62","6.5%","±0.3","760","±50","6.5%","±0.4","734","±41","6.4%","±0.4","278","±9","5.5%","±0.2","130","±20","5.0%","±0.1","148","±9","6.0%","±0.4","4,603","±233","5.6%","±0.3","2,145","±118","5.2%","±0.3","2,458","±180","5.9%","±0.4","1,315","±71","6.4%","±0.4","588","±28","5.7%","±0.3","727","±60","7.2%","±0.6","385","±20","6.0%","±0.3","191","±18","5.8%","±0.5","194","±8","6.2%","±0.3","2,674","±196","6.3%","±0.5","1,300","±102","6.2%","±0.5","1,374","±126","6.5%","±0.6","1,686","±85","6.0%","±0.3","856","±63","6.1%","±0.5","830","±36","5.8%","±0.3"
"        50 to 54 years","449,245","±1,050","6.4%","±0.1","222,397","±836","6.4%","±0.1","226,848","±568","6.3%","±0.1","1,004","±14","6.8%","±0.1","515","±22","6.8%","±0.1","489","±14","6.7%","±0.2","593","±95","7.7%","±1.2","332","±94","8.9%","±2.5","261","±19","6.6%","±0.5","3,720","±130","5.9%","±0.2","1,894","±111","6.1%","±0.4","1,826","±74","5.6%","±0.2","1,353","±64","6.5%","±0.3","687","±63","6.6%","±0.6","666","±20","6.3%","±0.2","1,307","±21","6.8%","±0.1","626","±15","6.6%","±0.2","681","±14","7.0%","±0.2","848","±33","7.0%","±0.3","425","±19","7.0%","±0.3","423","±28","7.1%","±0.5","1,646","±29","6.3%","±0.1","851","±28","6.6%","±0.2","795","±3","6.0%","±0.1","1,561","±26","6.8%","±0.1","770","±23","6.6%","±0.2","791","±11","6.9%","±0.1","327","±8","6.4%","±0.2","166","±8","6.3%","±0.3","161","±2","6.6%","±0.2","4,846","±179","5.9%","±0.2","2,219","±81","5.4%","±0.2","2,627","±172","6.3%","±0.4","1,398","±66","6.9%","±0.3","672","±38","6.5%","±0.4","726","±61","7.2%","±0.6","477","±22","7.4%","±0.3","234","±5","7.1%","±0.2","243","±22","7.7%","±0.7","2,602","±130","6.2%","±0.3","1,385","±113","6.6%","±0.5","1,217","±58","5.8%","±0.3","1,832","±66","6.5%","±0.2","919","±52","6.6%","±0.4","913","±26","6.4%","±0.2"
"        55 to 59 years","450,848","±4,124","6.4%","±0.1","220,026","±2,947","6.3%","±0.1","230,822","±3,200","6.4%","±0.1","1,190","±155","8.0%","±1.0","740","±101","9.8%","±1.3","450","±110","6.2%","±1.5","608","±117","7.9%","±1.5","288","±84","7.7%","±2.2","320","±75","8.1%","±1.9","4,637","±345","7.3%","±0.5","2,382","±220","7.7%","±0.7","2,255","±281","6.9%","±0.9","1,445","±199","6.9%","±0.9","708","±145","6.8%","±1.4","737","±141","7.0%","±1.3","1,263","±184","6.5%","±1.0","716","±167","7.5%","±1.8","547","±126","5.6%","±1.3","1,058","±180","8.8%","±1.5","520","±117","8.5%","±1.9","538","±93","9.1%","±1.6","2,049","±338","7.8%","±1.3","982","±199","7.6%","±1.5","1,067","±207","8.0%","±1.6","1,301","±259","5.6%","±1.1","668","±156","5.8%","±1.3","633","±144","5.5%","±1.3","430","±111","8.5%","±2.2","196","±64","7.5%","±2.4","234","±76","9.5%","±3.1","4,110","±409","5.0%","±0.5","2,089","±273","5.1%","±0.7","2,021","±283","4.9%","±0.7","1,594","±223","7.8%","±1.1","932","±139","9.1%","±1.3","662","±147","6.6%","±1.5","464","±99","7.2%","±1.5","305","±78","9.3%","±2.4","159","±65","5.0%","±2.0","2,726","±308","6.5%","±0.7","1,355","±237","6.4%","±1.1","1,371","±221","6.5%","±1.0","1,993","±317","7.1%","±1.1","891","±211","6.4%","±1.5","1,102","±173","7.8%","±1.2"
"        60 to 64 years","456,391","±4,086","6.5%","±0.1","218,885","±2,903","6.3%","±0.1","237,506","±3,122","6.6%","±0.1","963","±152","6.5%","±1.0","351","±98","4.6%","±1.3","612","±112","8.4%","±1.5","585","±115","7.6%","±1.5","308","±80","8.3%","±2.2","277","±78","7.0%","±2.0","5,271","±340","8.3%","±0.5","2,255","±223","7.3%","±0.7","3,016","±269","9.3%","±0.8","1,745","±226","8.3%","±1.1","836","±154","8.0%","±1.5","909","±146","8.7%","±1.4","1,737","±181","9.0%","±0.9","724","±162","7.6%","±1.7","1,013","±124","10.4%","±1.3","870","±183","7.2%","±1.5","464","±123","7.6%","±2.0","406","±95","6.8%","±1.6","1,543","±287","5.9%","±1.1","795","±170","6.1%","±1.3","748","±185","5.6%","±1.4","2,043","±269","8.9%","±1.2","966","±154","8.3%","±1.3","1,077","±158","9.4%","±1.4","438","±111","8.6%","±2.2","237","±63","9.0%","±2.4","201","±74","8.2%","±3.0","5,628","±402","6.8%","±0.5","2,614","±277","6.3%","±0.7","3,014","±286","7.3%","±0.7","1,506","±217","7.4%","±1.1","654","±134","6.4%","±1.3","852","±141","8.4%","±1.4","509","±98","7.9%","±1.5","172","±80","5.2%","±2.4","337","±61","10.7%","±2.0","2,836","±280","6.7%","±0.7","1,435","±233","6.8%","±1.1","1,401","±214","6.6%","±1.0","1,971","±318","7.0%","±1.1","1,061","±205","7.6%","±1.5","910","±176","6.4%","±1.3"
"        65 to 69 years","399,484","±3,791","5.7%","±0.1","187,465","±2,496","5.4%","±0.1","212,019","±2,633","5.9%","±0.1","918","±120","6.2%","±0.8","403","±85","5.3%","±1.1","515","±91","7.1%","±1.3","566","±103","7.4%","±1.3","227","±65","6.1%","±1.8","339","±86","8.6%","±2.1","6,330","±426","10.0%","±0.7","3,009","±266","9.7%","±0.8","3,321","±277","10.2%","±0.9","1,260","±180","6.0%","±0.9","701","±119","6.7%","±1.1","559","±114","5.3%","±1.1","1,410","±225","7.3%","±1.2","752","±135","7.9%","±1.4","658","±158","6.7%","±1.6","1,020","±152","8.5%","±1.3","606","±108","10.0%","±1.8","414","±99","7.0%","±1.7","1,560","±203","5.9%","±0.8","695","±143","5.4%","±1.1","865","±127","6.5%","±1.0","1,676","±192","7.3%","±0.8","901","±120","7.8%","±1.0","775","±143","6.8%","±1.2","308","±71","6.1%","±1.4","99","±42","3.8%","±1.6","209","±59","8.5%","±2.4","4,498","±381","5.4%","±0.5","2,037","±208","4.9%","±0.5","2,461","±291","5.9%","±0.7","1,151","±174","5.6%","±0.9","563","±114","5.5%","±1.1","588","±105","5.8%","±1.1","506","±109","7.9%","±1.7","255","±80","7.8%","±2.4","251","±58","8.0%","±1.9","2,401","±233","5.7%","±0.6","1,026","±167","4.9%","±0.8","1,375","±159","6.5%","±0.8","1,940","±270","6.9%","±1.0","1,099","±196","7.9%","±1.4","841","±153","5.9%","±1.1"
"        70 to 74 years","329,703","±3,697","4.7%","±0.1","152,299","±2,469","4.4%","±0.1","177,404","±2,574","4.9%","±0.1","662","±119","4.5%","±0.8","338","±82","4.5%","±1.1","324","±89","4.5%","±1.2","528","±97","6.9%","±1.3","271","±66","7.3%","±1.8","257","±74","6.5%","±1.9","5,669","±432","8.9%","±0.7","2,662","±269","8.6%","±0.9","3,007","±280","9.2%","±0.9","1,173","±194","5.6%","±0.9","473","±114","4.5%","±1.1","700","±141","6.7%","±1.3","1,310","±214","6.8%","±1.1","569","±132","6.0%","±1.4","741","±153","7.6%","±1.6","750","±147","6.2%","±1.2","255","±101","4.2%","±1.7","495","±106","8.3%","±1.8","902","±208","3.4%","±0.8","461","±143","3.6%","±1.1","441","±133","3.3%","±1.0","1,238","±174","5.4%","±0.8","507","±111","4.4%","±1.0","731","±128","6.4%","±1.1","497","±71","9.8%","±1.4","308","±45","11.7%","±1.7","189","±59","7.7%","±2.4","3,651","±342","4.4%","±0.4","1,654","±206","4.0%","±0.5","1,997","±270","4.8%","±0.7","947","±176","4.6%","±0.9","482","±116","4.7%","±1.1","465","±105","4.6%","±1.0","418","±106","6.5%","±1.6","192","±80","5.8%","±2.4","226","±55","7.2%","±1.8","2,141","±252","5.1%","±0.6","1,110","±155","5.3%","±0.7","1,031","±166","4.9%","±0.8","1,708","±284","6.1%","±1.0","681","±184","4.9%","±1.3","1,027","±177","7.2%","±1.2"
"        75 to 79 years","225,356","±2,716","3.2%","±0.1","102,412","±1,480","3.0%","±0.1","122,944","±1,943","3.4%","±0.1","426","±117","2.9%","±0.8","199","±72","2.6%","±1.0","227","±82","3.1%","±1.1","404","±110","5.3%","±1.4","201","±65","5.4%","±1.7","203","±85","5.2%","±2.2","4,122","±356","6.5%","±0.6","2,180","±255","7.0%","±0.8","1,942","±214","6.0%","±0.6","716","±117","3.4%","±0.6","412","±65","3.9%","±0.6","304","±95","2.9%","±0.9","901","±175","4.7%","±0.9","337","±112","3.5%","±1.2","564","±117","5.8%","±1.2","503","±124","4.2%","±1.0","218","±81","3.6%","±1.3","285","±78","4.8%","±1.3","867","±162","3.3%","±0.6","363","±87","2.8%","±0.7","504","±125","3.8%","±0.9","898","±149","3.9%","±0.6","338","±97","2.9%","±0.8","560","±117","4.9%","±1.0","267","±79","5.3%","±1.6","170","±63","6.5%","±2.4","97","±48","3.9%","±2.0","2,449","±270","3.0%","±0.3","1,128","±195","2.7%","±0.5","1,321","±159","3.2%","±0.4","729","±104","3.6%","±0.5","306","±71","3.0%","±0.7","423","±71","4.2%","±0.7","355","±91","5.5%","±1.4","214","±43","6.5%","±1.3","141","±66","4.5%","±2.1","1,459","±207","3.5%","±0.5","629","±116","3.0%","±0.6","830","±147","3.9%","±0.7","939","±175","3.3%","±0.6","459","±108","3.3%","±0.8","480","±121","3.4%","±0.9"
"        80 to 84 years","136,907","±2,150","1.9%","±0.1","57,899","±1,423","1.7%","±0.1","79,008","±1,537","2.2%","±0.1","336","±97","2.3%","±0.7","125","±43","1.7%","±0.6","211","±79","2.9%","±1.1","245","±89","3.2%","±1.2","70","±44","1.9%","±1.2","175","±73","4.4%","±1.8","2,798","±363","4.4%","±0.6","1,260","±240","4.1%","±0.8","1,538","±227","4.7%","±0.7","372","±121","1.8%","±0.6","132","±51","1.3%","±0.5","240","±103","2.3%","±1.0","386","±130","2.0%","±0.7","147","±83","1.5%","±0.9","239","±107","2.4%","±1.1","308","±93","2.6%","±0.8","162","±77","2.7%","±1.3","146","±62","2.5%","±1.0","410","±135","1.6%","±0.5","138","±71","1.1%","±0.5","272","±105","2.0%","±0.8","588","±142","2.5%","±0.6","214","±72","1.8%","±0.6","374","±115","3.3%","±1.0","199","±77","3.9%","±1.5","37","±40","1.4%","±1.5","162","±54","6.6%","±2.2","1,742","±241","2.1%","±0.3","637","±155","1.5%","±0.4","1,105","±167","2.7%","±0.4","247","±70","1.2%","±0.3","148","±59","1.4%","±0.6","99","±41","1.0%","±0.4","170","±62","2.6%","±1.0","24","±17","0.7%","±0.5","146","±56","4.6%","±1.8","837","±190","2.0%","±0.4","343","±97","1.6%","±0.5","494","±140","2.3%","±0.7","991","±235","3.5%","±0.8","405","±128","2.9%","±0.9","586","±185","4.1%","±1.3"
"        85 years and over","114,497","±2,977","1.6%","±0.1","40,612","±1,600","1.2%","±0.1","73,885","±1,811","2.1%","±0.1","283","±103","1.9%","±0.7","119","±70","1.6%","±0.9","164","±62","2.3%","±0.8","171","±82","2.2%","±1.1","98","±56","2.6%","±1.5","73","±62","1.9%","±1.6","1,684","±426","2.6%","±0.7","757","±245","2.4%","±0.8","927","±225","2.8%","±0.7","412","±107","2.0%","±0.5","113","±53","1.1%","±0.5","299","±92","2.8%","±0.9","491","±173","2.5%","±0.9","272","±143","2.9%","±1.5","219","±109","2.2%","±1.1","221","±85","1.8%","±0.7","110","±71","1.8%","±1.2","111","±54","1.9%","±0.9","300","±144","1.1%","±0.5","135","±75","1.0%","±0.6","165","±104","1.2%","±0.8","335","±102","1.5%","±0.4","239","±95","2.1%","±0.8","96","±42","0.8%","±0.4","150","±85","3.0%","±1.7","86","±61","3.3%","±2.3","64","±38","2.6%","±1.5","1,283","±226","1.6%","±0.3","605","±165","1.5%","±0.4","678","±136","1.6%","±0.3","325","±96","1.6%","±0.5","130","±70","1.3%","±0.7","195","±69","1.9%","±0.7","96","±64","1.5%","±1.0","44","±28","1.3%","±0.8","52","±54","1.7%","±1.7","714","±212","1.7%","±0.5","261","±96","1.2%","±0.5","453","±155","2.1%","±0.7","401","±197","1.4%","±0.7","147","±94","1.1%","±0.7","254","±160","1.8%","±1.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","877,594","±1,108","12.4%","±0.1","450,064","±805","13.0%","±0.1","427,530","±871","11.9%","±0.1","1,866","±166","12.6%","±1.1","1,058","±123","14.0%","±1.6","808","±74","11.1%","±0.9","776","±20","10.1%","±0.6","383","±20","10.3%","±0.2","393","±20","10.0%","±0.2","6,089","±160","9.6%","±0.3","3,148","±189","10.2%","±0.5","2,941","±237","9.0%","±0.7","2,295","±96","10.9%","±0.5","1,165","±64","11.1%","±0.6","1,130","±71","10.8%","±0.6","2,238","±51","11.6%","±0.3","1,140","±44","12.0%","±0.5","1,098","±37","11.2%","±0.4","1,278","±53","10.6%","±0.4","626","±36","10.3%","±0.6","652","±57","11.0%","±0.9","3,895","±84","14.8%","±0.3","2,005","±97","15.5%","±0.6","1,890","±117","14.2%","±0.8","2,716","±43","11.8%","±0.2","1,406","±29","12.1%","±0.3","1,310","±42","11.4%","±0.4","492","±31","9.7%","±0.6","228","±9","8.7%","±0.3","264","±25","10.7%","±1.1","9,527","±187","11.5%","±0.2","4,828","±104","11.7%","±0.3","4,699","±142","11.4%","±0.3","2,547","±75","12.5%","±0.4","1,344","±68","13.1%","±0.6","1,203","±56","11.9%","±0.5","714","±21","11.1%","±0.3","393","±23","12.0%","±0.7","321","±4","10.2%","±0.3","5,608","±177","13.3%","±0.4","2,827","±111","13.4%","±0.5","2,781","±167","13.2%","±0.7","3,440","±108","12.2%","±0.4","1,771","±139","12.7%","±0.9","1,669","±82","11.7%","±0.5"
"        15 to 17 years","278,451","±759","3.9%","±0.1","142,348","±904","4.1%","±0.1","136,103","±727","3.8%","±0.1","649","±142","4.4%","±1.0","399","±141","5.3%","±1.8","250","±20","3.4%","±0.3","344","±42","4.5%","±0.6","176","±38","4.7%","±1.0","168","±52","4.3%","±1.3","1,822","±99","2.9%","±0.2","916","±24","3.0%","±0.1","906","±91","2.8%","±0.3","727","±50","3.5%","±0.2","377","±49","3.6%","±0.5","350","±16","3.3%","±0.2","666","±13","3.4%","±0.1","376","±141","3.9%","±1.4","290","±142","3.0%","±1.4","374","±19","3.1%","±0.2","189","±9","3.1%","±0.2","185","±17","3.1%","±0.3","1,030","±62","3.9%","±0.2","519","±61","4.0%","±0.4","511","±39","3.8%","±0.3","892","±25","3.9%","±0.1","483","±23","4.2%","±0.2","409","±11","3.6%","±0.1","180","±12","3.5%","±0.2","143","±34","5.5%","±1.2","37","±34","1.5%","±1.4","3,171","±155","3.8%","±0.2","1,478","±121","3.6%","±0.3","1,693","±154","4.1%","±0.4","905","±60","4.4%","±0.3","463","±53","4.5%","±0.5","442","±51","4.4%","±0.5","244","±22","3.8%","±0.3","204","±44","6.2%","±1.3","40","±43","1.3%","±1.3","1,727","±154","4.1%","±0.4","925","±130","4.4%","±0.6","802","±108","3.8%","±0.5","1,120","±76","4.0%","±0.3","512","±24","3.7%","±0.2","608","±68","4.3%","±0.5"
"        Under 18 years","1,566,969","±537","22.2%","±0.1","802,929","±1,319","23.2%","±0.1","764,040","±1,396","21.2%","±0.1","3,372","±110","22.8%","±0.7","1,900","±132","25.1%","±1.5","1,472","±80","20.3%","±1.0","1,443","±42","18.8%","±0.6","699","±55","18.7%","±1.3","744","±71","18.9%","±1.8","10,622","±45","16.7%","±0.1","5,308","±205","17.1%","±0.5","5,314","±198","16.3%","±0.5","4,557","±63","21.7%","±0.3","2,319","±168","22.2%","±1.3","2,238","±177","21.3%","±1.4","3,935","±29","20.4%","±0.1","2,034","±145","21.3%","±1.2","1,901","±145","19.4%","±1.2","2,200","±68","18.3%","±0.6","1,087","±31","17.9%","±0.6","1,113","±62","18.7%","±0.8","6,583","±64","25.1%","±0.2","3,360","±154","25.9%","±0.9","3,223","±140","24.3%","±0.9","4,758","±29","20.6%","±0.1","2,466","±33","21.2%","±0.3","2,292","±41","20.0%","±0.4","878","±39","17.3%","±0.8","519","±58","19.8%","±1.9","359","±60","14.6%","±2.2","17,224","±32","20.9%","±0.1","8,721","±120","21.2%","±0.2","8,503","±116","20.5%","±0.2","4,566","±44","22.4%","±0.2","2,407","±89","23.4%","±0.7","2,159","±83","21.4%","±0.6","1,303","±31","20.2%","±0.5","781","±53","23.8%","±1.4","522","±42","16.6%","±1.1","9,818","±46","23.3%","±0.1","5,098","±179","24.2%","±0.6","4,720","±181","22.4%","±0.7","6,096","±40","21.6%","±0.1","3,109","±126","22.3%","±0.8","2,987","±127","21.0%","±0.7"
